d w z t
11 44 0 0
11 42 0 0
11 25 0 0
11 6 0 0
11 4 0 0
11 40 0 0
11 31 0 0
11 4 0 0
11 113 0 0
11 57 0 0
11 121 0 0
11 10 0 0
11 87 0 0
11 56 0 0
11 50 0 0
11 120 0 0
11 111 0 0
11 2 0 0
11 1 0 0
11 5 0 0
11 11 0 0
11 121 0 0
4 75 0 0
4 73 0 0
4 31 0 0
4 71 0 0
4 72 0 0
4 46 0 0
4 25 0 0
4 74 0 0
4 7 0 0
4 31 0 0
4 5 0 0
4 25 0 0
4 70 0 0
4 8 0 0
4 75 0 0
4 30 0 0
4 4 0 0
4 4 0 0
5 58 0 0
5 48 0 0
5 42 0 0
5 4 0 0
5 7 0 0
5 77 0 0
5 15 0 0
5 48 0 0
5 81 0 0
5 50 0 0
5 78 0 0
5 78 0 0
5 30 0 0
5 75 0 0
5 50 0 0
5 4 0 0
5 59 0 0
5 5 0 0
5 50 0 0
5 12 0 0
5 38 0 0
5 10 0 0
5 14 0 0
5 25 0 0
5 4 0 0
5 13 0 0
5 31 0 0
5 5 0 0
5 79 0 1
5 5 0 0
5 80 0 0
5 31 0 0
5 76 0 0
5 48 0 0
5 10 0 0
17 119 0 0
17 89 0 0
17 31 0 0
17 31 0 0
17 33 0 0
17 49 0 0
17 22 0 0
17 33 0 0
17 11 0 0
17 107 0 0
17 75 0 0
17 7 0 0
17 31 0 0
17 116 0 0
17 115 0 0
17 59 0 0
17 31 0 0
17 131 0 0
17 5 0 0
17 30 0 0
17 25 0 0
17 31 0 0
17 57 0 0
17 125 0 0
17 4 0 0
17 113 0 0
17 59 0 0
17 31 0 0
17 84 0 0
17 102 0 0
17 10 0 0
17 10 0 0
17 7 0 0
17 42 0 0
17 112 0 0
17 50 0 0
17 33 0 0
17 131 0 0
17 11 0 0
17 10 0 0
17 5 0 0
17 132 0 0
10 46 0 0
10 117 0 0
10 4 0 0
10 73 0 0
10 24 0 0
10 31 0 0
10 1 0 0
10 114 0 0
10 5 0 0
10 62 0 0
10 115 0 0
10 33 0 0
10 5 0 0
10 9 0 0
10 31 0 0
10 31 0 0
10 4 0 0
10 10 0 0
10 31 0 0
10 94 0 0
10 75 0 0
10 31 0 0
10 25 0 0
10 4 0 0
10 2 0 0
10 62 0 0
10 46 0 0
10 42 0 0
10 33 0 0
10 4 0 0
10 106 0 0
10 7 0 0
10 6 0 0
10 5 0 0
10 41 0 0
10 31 0 0
10 30 0 0
10 31 0 0
10 10 0 0
10 50 0 0
10 118 0 0
10 7 0 0
10 22 0 0
10 47 0 0
10 11 0 0
10 119 0 0
10 116 0 0
8 5 1 0
8 5 1 0
